country_name,total_smokers_2022_percent,male_smokers_2022_percent,female_smokers_2022_percent
Nauru,48.3,48.6,48.1
Myanmar,44.4,69.5,19.3
Kiribati,39.7,52.5,26.8
Papua New Guinea,39.6,54.3,24.9
Bulgaria,39.5,40.3,38.7
Serbia,39.5,39.9,39.1
Timor Leste,38.7,67.00,10.5
Indonesia,38.2,73.1,3.3
Croatia,37.00,36.7,37.3
Solomon Islands,36.9,54.4,19.4
Andorra,36.3,34.8,37.9
Bosnia and Herzegovina,36.2,41.6,30.9
Jordan,35.6,57.6,13.6
Cyprus,35.6,47.2,23.9
France,34.6,35.5,33.7
Lebanon,34.3,42.9,25.7
Latvia,33.9,46.6,21.1
Tuvalu,33.7,48.2,19.1
Bangladesh,32.9,50.5,15.4
Greece,32.8,35.00,30.6
Slovakia,32.4,36.3,28.5
Hungary,32.2,36.3,28.1
Montenegro,32.00,30.9,33.2
Georgia,31.8,55.9,7.6
Lithuania,31.4,41.1,21.6
Tonga,31.3,47.00,15.5
Turkey,30.5,41.2,19.8
Belarus,30.1,46.3,13.9
Romania,30.00,38.6,21.5
Czech Republic,29.9,33.4,26.5
Marshall Islands,29.8,51.2,8.5
Moldova,29.7,52.4,7.00
Mongolia,29.5,51.7,7.2
Russia,29.2,41.1,17.4
Chile,28.7,30.8,26.7
Spain,28.4,29.4,27.5
Nepal,28.3,45.7,10.9
Estonia,28.3,33.8,22.8
Fiji,27.6,42.00,13.2
Kyrgyzstan,27.3,51.3,3.3
Laos,27.2,45.4,9.00
Cook Islands,27.00,31.8,22.2
Madagascar,26.8,43.00,10.7
Belgium,26.7,29.00,24.5
Maldives,26.3,42.2,10.4
Portugal,25.6,30.5,20.7
Switzerland,25.5,28.2,22.9
Ukraine,24.9,38.4,11.5
Austria,24.9,25.8,24.00
Armenia,24.9,48.2,1.5
Egypt,24.7,49.1,0.4
Malta,24.7,26.3,23.2
India,24.3,37.8,10.8
United States,24.3,29.9,18.7
Lesotho,24.3,43.6,5.1
Argentina,23.8,28.5,19.1
Poland,23.6,27.1,20.1
China,23.4,45.1,1.6
Luxembourg,23.00,24.4,21.6
Afghanistan,22.7,38.7,6.8
Sweden,22.7,28.9,16.4
Vietnam,22.5,43.00,2.00
Samoa,22.5,31.6,13.4
Italy,22.4,25.7,19.1
Finland,22.3,26.1,18.5
Kazakhstan,22.2,37.4,7.00
Malaysia,22.00,43.3,0.7
Albania,21.9,37.8,6.00
Yemen,21.4,34.5,8.2
Germany,21.3,23.2,19.3
Netherlands,21.3,23.5,19.00
Algeria,21.2,41.8,0.7
Mauritius,20.9,38.8,3.00
South Africa,20.7,34.9,6.5
Tunisia,20.5,39.5,1.6
Uruguay,20.5,23.4,17.5
Philippines,20.4,36.2,4.5
Israel,20.4,27.00,13.8
Seychelles,20.2,34.7,5.8
Slovenia,20.1,21.8,18.5
South Korea,20.00,34.1,5.8
Kuwait,19.9,37.7,2.1
Azerbaijan,19.6,39.00,0.1
Sri Lanka,19.5,36.8,2.2
Ireland,19.3,21.5,17.00
Japan,19.2,28.7,9.6
Thailand,19.2,36.9,1.5
Iraq,19.2,36.7,1.7
Pakistan,18.9,30.8,7.00
Botswana,18.7,30.2,7.2
Bhutan,18.7,26.2,11.1
Cuba,17.4,25.3,9.5
Palau,17.3,27.1,7.6
Cambodia,17.2,28.7,5.7
Comoros,17.2,27.7,6.7
Uzbekistan,16.7,32.4,1.00
North Korea,16.5,33.00,0.00
Singapore,16.4,27.9,4.9
Brunei,16.4,30.7,2.2
Denmark,16.2,16.4,16.1
Bahrain,15.00,25.00,5.1
Mexico,14.9,23.00,6.9
Saudi Arabia,14.9,27.6,2.1
Zambia,14.6,25.6,3.5
Burkina Faso,14.3,22.5,6.00
Rwanda,14.3,21.00,7.6
United Kingdom,14.2,16.1,12.4
Norway,14.2,14.9,13.5
Namibia,14.1,23.00,5.2
Saint Lucia,13.8,24.7,3.00
Iran,13.3,23.6,3.00
Australia,13.1,15.2,10.9
Morocco,13.00,25.00,10.00
Sierra Leone,12.9,19.8,5.9
Qatar,12.5,22.6,2.3
Bolivia,12.4,20.6,4.2
Honduras,12.3,22.9,1.7
Brazil,12.2,15.4,8.9
DR Congo,12.2,21.6,2.8
New Zealand,12.2,13.4,11.1
Canada,12.00,14.3,9.7
Guatemala,11.9,22.2,1.7
Zimbabwe,11.3,21.4,1.2
Bahamas,11.3,20.5,2.1
Burundi,11.2,17.1,5.3
Guyana,11.1,20.00,2.2
Cape Verde,11.00,16.7,5.2
Kenya,10.7,18.7,2.7
Paraguay,10.7,17.6,3.9
Dominican Republic,10.5,14.4,6.6
Gambia,10.5,20.3,0.7
Ecuador,10.2,17.8,2.6
Malawi,9.7,16.4,3.00
Jamaica,9.7,15.9,3.5
Mauritania,9.5,16.9,2.00
Eswatini,9.5,17.4,1.5
Iceland,9.4,9.3,9.4
Tanzania,9.3,15.3,3.3
United Arab Emirates,9.00,15.4,2.6
El Salvador,8.9,15.9,1.9
Costa Rica,8.9,13.2,4.5
Ivory Coast,8.8,16.9,0.8
Belize,8.8,15.6,1.9
Oman,8.4,16.5,0.4
Colombia,8.2,12.00,4.4
Liberia,8.2,14.6,1.9
Guinea Bissau,8.2,15.9,0.6
Haiti,8.1,13.7,2.5
Mali,8.00,15.1,0.9
Sao Tome and Principe,7.8,13.7,2.00
Niger,7.7,14.00,1.4
Uganda,7.5,11.9,3.1
Chad,7.4,13.2,1.6
Peru,7.1,11.6,2.6
Barbados,7.00,12.2,1.7
Cameroon,6.5,11.7,1.3
Senegal,6.5,12.3,0.7
Togo,6.4,11.7,1.00
Benin,6.3,10.7,1.9
Turkmenistan,5.6,10.7,0.5
Ethiopia,5.2,9.00,1.5
Panama,5.2,8.4,1.9
Ghana,3.4,6.5,0.3
Nigeria,3.3,6.1,0.5
  ,,,
